rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
438,Alaska Air Group,"19,112",459,"$5,931.00 ",5.90%,$814.00 ,-4.00%,"$9,962.00 ","$11,407.00 "
439,Old Republic International,"8,500",442,"$5,901.00 ",2.30%,$466.90 ,10.60%,"$18,592.00 ","$5,382.00 "
440,Lam Research,"7,500",491,"$5,886.00 ",11.90%,$914.00 ,39.40%,"$12,272.00 ","$20,903.00 "
441,AK Steel Holding,"8,500",383,"$5,883.00 ",-12.10%,($7.80),-,"$4,036.00 ","$2,263.00 "
442,Rockwell Automation,"22,000",412,"$5,880.00 ",-6.80%,$729.70 ,-11.80%,"$7,101.00 ","$20,024.00 "
443,Adobe Systems,"15,706",524,"$5,854.00 ",22.10%,"$1,168.80 ",85.70%,"$12,707.00 ","$64,375.00 "
444,Avon Products,"26,400",370,"$5,853.00 ",-18.40%,($107.60),-,"$3,419.00 ","$1,933.00 "
445,Terex,"18,100",396,"$5,841.00 ",-10.70%,($176.10),-220.70%,"$5,007.00 ","$3,250.00 "
446,NVR,"4,900",498,"$5,835.00 ",12.90%,$425.30 ,11.10%,"$2,644.00 ","$7,851.00 "
447,Dana Holding,"24,900",428,"$5,826.00 ",-3.90%,$640.00 ,302.50%,"$4,860.00 ","$2,783.00 "
448,Realogy Holdings,"11,800",449,"$5,810.00 ",1.80%,$213.00 ,15.80%,"$7,421.00 ","$4,173.00 "
449,American Tower,"4,507",526,"$5,786.00 ",21.30%,$956.40 ,39.60%,"$30,879.00 ","$51,921.00 "
450,Packaging Corp. of America,"14,000",446,"$5,779.00 ",0.60%,$449.60 ,2.90%,"$5,777.00 ","$8,631.00 "
451,Citizens Financial Group,"17,600",486,"$5,763.00 ",9.20%,"$1,045.00 ",24.40%,"$149,520.00 ","$17,597.00 "
452,United Rentals,"12,500",440,"$5,762.00 ",-0.90%,$566.00 ,-3.20%,"$11,988.00 ","$10,561.00 "
453,Clorox,"8,000",455,"$5,761.00 ",1.70%,$648.00 ,11.70%,"$4,518.00 ","$17,294.00 "
454,Genesis Healthcare,"82,000",457,"$5,733.00 ",2.00%,($64.00),-,"$5,779.00 ",$408.00 
455,M&T Bank Corp.,"16,487",510,"$5,722.00 ",14.50%,"$1,315.10 ",21.80%,"$123,449.00 ","$23,792.00 "
456,Ingredion,"11,000",456,"$5,704.00 ",1.50%,$484.90 ,20.60%,"$5,782.00 ","$8,646.00 "
457,UGI,"13,105",384,"$5,686.00 ",-15.00%,$364.70 ,29.80%,"$10,847.00 ","$8,543.00 "
458,Owens Corning,"16,000",480,"$5,677.00 ",6.10%,$393.00 ,19.10%,"$7,741.00 ","$6,910.00 "
459,S&P Global,"20,000",481,"$5,661.00 ",6.60%,"$2,106.00 ",82.20%,"$8,669.00 ","$33,805.00 "
460,Markel,"10,900",476,"$5,612.00 ",4.50%,$455.70 ,-21.80%,"$25,875.00 ","$13,623.00 "
461,Wyndham Worldwide,"37,800",466,"$5,599.00 ",1.10%,$611.00 ,-0.20%,"$9,819.00 ","$8,829.00 "
462,Arthur J. Gallagher,"24,790",471,"$5,595.00 ",3.80%,$414.40 ,16.10%,"$11,490.00 ","$10,148.00 "
463,Burlington Stores,"40,000",500,"$5,591.00 ",9.00%,$215.90 ,43.50%,"$2,575.00 ","$6,836.00 "
464,First American Financial,"19,531",497,"$5,576.00 ",7.70%,$343.00 ,19.10%,"$8,832.00 ","$4,332.00 "
465,Symantec,"11,000",400,"$5,568.00 ",-14.40%,"$2,488.00 ",183.40%,"$11,767.00 ","$18,986.00 "
466,Patterson,"7,000",559,"$5,555.00 ",27.00%,$187.20 ,-16.20%,"$3,521.00 ","$4,393.00 "
467,Olin,"6,400",761,"$5,551.00 ",94.50%,($3.90),-,"$8,763.00 ","$5,444.00 "
468,NetApp,"12,030",422,"$5,546.00 ",-9.40%,$229.00 ,-59.10%,"$10,037.00 ","$11,339.00 "
469,Raymond James Financial,"11,900",482,"$5,520.00 ",4.00%,$529.40 ,5.40%,"$31,594.00 ","$10,958.00 "
470,TravelCenters of America,"20,259",439,"$5,511.00 ",-5.80%,($2.00),-107.30%,"$1,660.00 ",$241.00 
471,Fiserv,"23,000",492,"$5,505.00 ",4.80%,$930.00 ,30.60%,"$9,743.00 ","$24,741.00 "
472,Host Hotels & Resorts,"220,000",472,"$5,488.00 ",1.90%,$762.00 ,36.60%,"$11,408.00 ","$13,794.00 "
473,Insight Enterprises,"5,930",474,"$5,486.00 ",2.10%,$84.70 ,11.70%,"$2,219.00 ","$1,458.00 "
474,Mattel,"32,000",450,"$5,457.00 ",-4.30%,$318.00 ,-13.90%,"$6,494.00 ","$8,770.00 "
475,AmTrust Financial Services,"8,000",531,"$5,451.00 ",18.10%,$411.00 ,-8.80%,"$22,615.00 ","$3,158.00 "
476,Cincinnati Financial,"4,754",499,"$5,449.00 ",6.00%,$590.70 ,-6.80%,"$20,386.00 ","$11,911.00 "
477,Simon Property Group,"4,050",488,"$5,435.00 ",3.20%,"$1,838.90 ",0.60%,"$31,104.00 ","$53,732.00 "
478,Western Union,"10,700",468,"$5,423.00 ",-1.10%,$253.20 ,-69.80%,"$9,420.00 ","$9,691.00 "
479,KeyCorp,"15,700",540,"$5,422.00 ",19.40%,$791.00 ,-13.60%,"$136,453.00 ","$19,238.00 "
480,Delek US Holdings,"1,326",445,"$5,414.00 ",-6.00%,($153.70),-892.30%,"$2,985.00 ","$1,504.00 "
481,Booz Allen Hamilton Holding,"22,600",487,"$5,406.00 ",2.50%,$294.10 ,26.50%,"$3,010.00 ","$5,307.00 "
482,Chemours,"7,000",,"$5,400.00 ",-,$7.00 ,-,"$6,060.00 ","$7,080.00 "
483,Western & Southern Financial Group,"2,178",479,"$5,398.00 ",0.80%,$241.20 ,-47.20%,"$43,831.00 ",-
484,Celanese,"7,293",453,"$5,389.00 ",-5.00%,$900.00 ,196.10%,"$8,357.00 ","$12,643.00 "
485,Windstream Holdings,"11,870",443,"$5,387.00 ",-6.60%,($383.50),-,"$11,770.00 ","$1,038.00 "
486,Seaboard,"11,781",460,"$5,379.00 ",-3.80%,$312.00 ,82.50%,"$4,755.00 ","$4,881.00 "
487,Essendant,"6,600",477,"$5,369.00 ",0.10%,$63.90 ,-,"$2,164.00 ",$568.00 
488,Apache,"3,727",388,"$5,354.00 ",-19.50%,"($1,405.00)",-,"$22,519.00 ","$19,547.00 "
489,Airgas,"17,000",484,"$5,314.00 ",0.20%,$337.50 ,-8.30%,"$6,135.00 ",-
490,Kelly Services,"7,500",467,"$5,277.00 ",-4.40%,$120.80 ,124.50%,"$2,028.00 ",$836.00 
491,Liberty Media,"3,626",525,"$5,276.00 ",10.00%,$680.00 ,962.50%,"$31,377.00 ","$13,055.00 "
492,Rockwell Collins,"19,000",490,"$5,259.00 ",-0.10%,$728.00 ,6.10%,"$7,707.00 ","$12,711.00 "
493,Robert Half International,"16,400",503,"$5,250.00 ",3.10%,$343.40 ,-4.00%,"$1,778.00 ","$6,240.00 "
494,CH2M Hill,"20,000",478,"$5,236.00 ",-2.30%,$15.00 ,-81.30%,"$2,671.00 ",-
495,Big Lots,"23,150",495,"$5,200.00 ",0.20%,$152.80 ,7.00%,"$1,608.00 ","$2,180.00 "
496,Michaels Cos.,"31,000",517,"$5,197.00 ",5.80%,$378.20 ,4.20%,"$2,148.00 ","$4,229.00 "
497,Toll Brothers,"4,200",576,"$5,170.00 ",23.90%,$382.10 ,5.20%,"$9,737.00 ","$5,872.00 "
498,Yahoo,"8,500",513,"$5,169.00 ",4.00%,($214.30),-,"$48,083.00 ","$44,391.00 "
499,Vistra Energy,"4,431",,"$5,164.00 ",-,-,-,"$15,167.00 ","$6,968.00 "
500,ABM Industries,"110,000",485,"$5,145.00 ",-2.80%,$57.20 ,-25.00%,"$2,281.00 ","$2,428.00 "
